Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ARG,1213,02/03/2013,00:15,Newells Old Boys,Belgrano,2.0,0.0,H,1.98,3.16,3.88
ARG,1213,02/03/2013,20:00,Colon Santa FE,Estudiantes L.P.,3.0,3.0,D,2.22,3.06,3.28
ARG,1213,02/03/2013,23:15,Arsenal Sarandi,Independiente,1.0,0.0,H,2.45,3.02,2.92
ARG,1213,03/03/2013,20:00,Godoy Cruz,Argentinos Jrs,0.0,0.0,D,1.89,3.23,4.12
ARG,1213,03/03/2013,20:00,San Lorenzo,River Plate,2.0,0.0,H,2.87,2.93,2.55
ARG,1213,03/03/2013,20:00,Tigre,All Boys,2.0,1.0,H,2.38,3.04,3.02
ARG,1213,03/03/2013,22:10,Racing Club,Lanus,0.0,0.0,D,2.78,2.98,2.61
ARG,1213,03/03/2013,23:15,Boca Juniors,Union de Santa Fe,1.0,3.0,A,1.47,3.98,6.81
ARG,1213,05/03/2013,00:15,Velez Sarsfield,San Martin S.J.,3.0,0.0,H,1.54,3.69,6.26
ARG,1213,08/03/2013,22:10,Belgrano,Velez Sarsfield,1.0,0.0,H,2.42,2.97,3.03
ARG,1213,09/03/2013,00:15,Independiente,Godoy Cruz,0.0,1.0,A,2.14,3.1,3.44
ARG,1213,09/03/2013,20:00,Union de Santa Fe,All Boys,1.0,1.0,D,2.47,3.03,2.89
ARG,1213,09/03/2013,22:10,Estudiantes L.P.,Newells Old Boys,2.0,4.0,A,1.89,3.29,4.05
ARG,1213,09/03/2013,23:15,San Martin S.J.,Racing Club,0.0,3.0,A,2.71,2.98,2.65
ARG,1213,10/03/2013,20:00,San Lorenzo,Tigre,0.0,1.0,A,1.95,3.18,3.93
ARG,1213,10/03/2013,21:10,River Plate,Colon Santa FE,2.0,1.0,H,1.75,3.37,4.78
ARG,1213,10/03/2013,23:15,Atl. Rafaela,Boca Juniors,1.0,1.0,D,2.35,3.06,3.06
ARG,1213,11/03/2013,22:10,Lanus,Arsenal Sarandi,2.0,1.0,H,1.72,3.42,4.89
ARG,1213,12/03/2013,00:15,Argentinos Jrs,Quilmes,1.0,3.0,A,2.54,3.01,2.81
ARG,1213,16/03/2013,00:30,Tigre,Union de Santa Fe,1.0,2.0,A,1.78,3.36,4.51
ARG,1213,16/03/2013,19:15,Colon Santa FE,San Lorenzo,0.0,1.0,A,2.43,3.02,2.96
ARG,1213,16/03/2013,23:15,Quilmes,Independiente,0.0,0.0,D,2.26,3.09,3.17
ARG,1213,17/03/2013,17:00,Godoy Cruz,Lanus,0.0,1.0,A,2.93,2.99,2.47
ARG,1213,17/03/2013,19:10,Newells Old Boys,River Plate,1.0,0.0,H,2.36,3.05,3.04
ARG,1213,17/03/2013,21:10,Racing Club,Belgrano,1.0,1.0,D,2.03,3.11,3.76
