Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
3,1920,20190810,15,5,88,28,31,0,0,1465,1328,0.0,0.0,0,3,0.0,0.0,1.0,0.0,2.0,1.0,15.0,14.0,4.0,2.0,1.0,1.0,1.76,3.86,4.41
3,1920,20190810,15,5,105,185,32,0,0,1479,1349,0.0,0.0,0,3,0.0,0.0,2.0,1.0,3.0,1.0,12.0,13.0,4.0,4.0,1.0,1.0,2.06,3.49,3.52
3,1920,20190810,15,5,145,35,39,2,2,1460,1509,0.0,0.0,1,3,1.0,0.0,3.0,3.0,1.0,0.0,17.0,15.0,8.0,3.0,1.0,1.0,2.4,3.32,2.94
3,1920,20190810,15,5,181,244,37,0,0,1495,1362,0.0,0.0,0,0,0.0,3.0,1.0,0.0,2.0,3.0,5.0,12.0,0.0,4.0,1.0,1.0,2.15,3.29,3.48
3,1920,20190810,15,5,182,103,28,1,1,1537,1319,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,1.0,5.0,14.0,3.0,2.0,1.0,1.0,2.67,3.23,2.68
3,1920,20190810,15,5,204,21,19,0,0,1448,1436,0.0,0.0,3,0,3.0,3.0,1.0,3.0,0.0,1.0,13.0,17.0,5.0,4.0,1.0,1.0,2.22,3.28,3.32
3,1920,20190810,15,5,242,147,29,1,1,1461,1401,0.0,0.0,3,0,3.0,3.0,1.0,2.0,0.0,1.0,12.0,8.0,3.0,3.0,1.0,1.0,1.9,3.48,4.1
4,1920,20190810,16,5,143,190,55,2,2,1593,1436,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,3.71,5.67
2,1920,20190810,17,5,223,13,20,0,0,1644,1467,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,5.53,10.51
4,1920,20190810,19,5,9,32,55,0,0,1481,1372,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,3.14,3.24
4,1920,20190810,19,5,37,224,55,1,1,1494,1513,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,3.23,3.09
4,1920,20190810,19,5,66,212,55,2,2,1368,1437,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.34,2.11
4,1920,20190810,19,5,151,191,55,2,2,1544,1513,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.18,3.3
4,1920,20190810,19,5,157,6,55,0,0,1588,1375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,2.98,3.87
2,1920,20190811,14,6,124,246,56,1,1,1616,1419,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,3.28,3.48
2,1920,20190811,14,6,156,11,61,2,2,1562,1580,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,3.82,1.79
4,1920,20190811,14,6,128,154,55,0,0,1752,1414,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,3.19,4.43
2,1920,20190811,16,6,142,53,8,0,0,1714,1564,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,3.32,3.49
4,1920,20190811,16,6,215,144,55,1,1,1538,1403,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.23,3.9
4,1920,20190811,20,6,171,158,55,0,0,1760,1357,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,9.77,23.32
1,1920,20190816,17,4,96,30,55,0,0,1624,1487,0.0,0.0,4,4,3.44,1.0,0.5,2.5,2.0,3.0,19.0,17.67,7.56,6.22,1.0,1.0,1.48,4.36,6.36
1,1920,20190816,17,4,198,163,55,0,0,1465,1424,0.0,0.0,1,3,0.44,1.33,0.5,1.0,2.5,0.0,13.89,7.22,3.56,0.89,1.0,1.0,2.64,3.14,2.73
3,1920,20190816,19,4,103,88,34,2,2,1405,1378,0.0,0.0,1,3,1.0,3.0,1.0,1.5,0.0,1.5,9.56,13.33,3.11,2.89,1.0,1.0,3.25,3.29,2.28
0,1920,20190816,19,4,23,100,55,1,1,1769,1397,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,7.55,15.04
4,1920,20190816,19,4,135,9,55,0,0,1720,1374,0.0,0.0,3,0,3.0,3.0,0.0,3.0,1.0,3.0,13.0,14.0,3.0,4.0,1.0,1.0,1.5,4.45,6.4
5,1920,20190816,19,4,43,50,55,1,1,1461,1405,0.0,0.0,4,1,3.25,3.5,0.67,1.33,0.33,0.33,5.58,8.58,3.0,2.33,1.0,1.0,2.7,2.85,2.89
5,1920,20190816,19,4,52,0,55,2,2,1353,1419,0.0,0.0,1,4,0.58,2.0,2.0,0.0,1.67,1.0,9.42,16.25,1.92,5.58,1.0,1.0,3.12,2.87,2.5
5,1920,20190816,19,4,93,226,55,1,1,1547,1489,0.0,0.0,2,6,1.25,0.75,1.0,1.33,2.0,0.67,6.5,13.08,1.58,4.33,1.0,1.0,2.64,2.88,2.92
5,1920,20190816,19,4,132,205,55,0,0,1563,1411,0.0,0.0,7,2,3.5,3.83,1.67,1.0,0.33,0.67,9.0,8.08,2.5,1.58,1.0,1.0,1.65,3.38,6.03
5,1920,20190816,19,4,153,119,55,0,0,1512,1431,0.0,0.0,3,9,1.83,0.0,0.67,0.67,1.33,1.33,11.25,16.0,3.75,4.92,1.0,1.0,1.93,3.23,4.17
5,1920,20190816,19,4,164,56,55,2,2,1546,1541,0.0,0.0,1,1,0.25,3.5,0.33,0.33,1.0,1.67,9.83,9.67,3.75,5.08,1.0,1.0,3.23,2.93,2.4
5,1920,20190816,19,4,170,159,55,2,2,1544,1359,0.0,0.0,1,4,0.58,3.58,2.0,0.67,1.0,1.33,6.67,10.75,2.42,5.75,1.0,1.0,2.06,2.91,4.22
5,1920,20190816,19,4,230,192,55,0,0,1486,1399,0.0,0.0,4,1,3.58,4.33,1.0,1.0,0.33,1.33,9.58,9.17,2.42,2.83,1.0,1.0,2.92,3.02,2.54
8,1920,20190816,20,4,15,19,55,0,0,1576,1611,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,3.81,1.71
2,1920,20190817,12,5,11,41,60,0,0,1688,1397,0.0,0.0,3,0,3.0,3.0,0.0,1.0,0.0,3.0,8.0,10.0,2.0,4.0,1.0,1.0,1.33,5.49,9.48
1,1920,20190817,12,5,26,76,55,0,0,1514,1399,0.0,0.0,2,0,1.44,4.33,2.0,2.0,2.0,1.5,18.11,11.44,6.11,6.44,1.0,1.0,1.7,3.78,4.75
1,1920,20190817,12,5,216,213,55,0,0,1563,1424,0.0,0.0,4,4,2.33,0.44,2.0,1.5,2.0,1.0,19.0,10.56,8.67,4.11,1.0,1.0,1.48,4.39,6.25
1,1920,20190817,12,5,240,97,55,2,2,1468,1383,0.0,0.0,0,4,0.0,1.0,2.0,2.0,1.0,1.5,19.89,14.78,5.67,4.22,1.0,1.0,2.91,3.34,2.37
0,1920,20190817,14,5,67,17,55,0,0,1712,1357,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,6.62,13.38
0,1920,20190817,14,5,85,138,55,0,0,1572,1459,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.37,3.36
0,1920,20190817,14,5,127,168,55,0,0,1613,1440,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,5.97,10.27
0,1920,20190817,14,5,241,84,55,2,2,1464,1501,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,3.93,4.57
0,1920,20190817,14,5,245,80,55,0,0,1644,1399,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,3.74,3.91
5,1920,20190817,14,5,125,118,55,2,2,1614,1433,0.0,0.0,7,2,3.5,3.83,1.33,1.0,1.67,1.33,13.58,12.25,5.75,4.17,1.0,1.0,1.99,3.07,4.14
2,1920,20190817,15,5,13,33,61,2,2,1551,1460,0.0,0.0,0,1,0.0,1.0,3.0,1.0,1.0,1.0,7.0,13.0,4.0,3.0,1.0,1.0,2.33,3.49,3.08
2,1920,20190817,15,5,38,243,8,1,1,1573,1526,0.0,0.0,3,3,3.0,0.0,0.0,3.0,5.0,0.0,5.0,5.0,3.0,3.0,1.0,1.0,2.52,3.33,2.9
2,1920,20190817,15,5,78,239,65,0,0,1586,1475,0.0,0.0,1,3,1.0,0.0,0.0,0.0,3.0,0.0,10.0,11.0,3.0,3.0,1.0,1.0,1.73,3.9,4.86
2,1920,20190817,15,5,160,156,4,0,0,1623,1449,0.0,0.0,0,3,0.0,0.0,4.0,1.0,1.0,0.0,12.0,9.0,5.0,2.0,1.0,1.0,2.23,3.38,3.38
2,1920,20190817,15,5,208,129,56,2,2,1460,1643,0.0,0.0,0,0,0.0,3.0,3.0,0.0,1.0,4.0,11.0,15.0,3.0,7.0,1.0,1.0,6.77,4.67,1.47
3,1920,20190817,15,5,21,51,32,1,1,1539,1513,0.0,0.0,3,0,1.33,4.33,1.5,0.0,1.5,2.0,13.67,6.78,3.44,3.89,1.0,1.0,2.01,3.46,3.74
