Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,team_form_team,team_form_opp,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
2,19000101,0,32,6,58,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,36,84,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,75,123,34,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,77,147,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,103,114,37,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,105,126,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,115,61,74,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,18,138,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,137,167,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,124,61,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,23,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,32,167,19,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,36,47,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,75,18,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,77,30,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,103,26,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,105,13,35,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,115,137,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,123,147,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,126,114,12,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,138,84,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,18,36,36,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,30,32,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,13,103,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,23,138,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,26,105,76,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,61,123,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,84,126,37,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,114,75,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,137,77,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,147,124,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,167,6,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,47,115,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,61,83,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,13,75,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,23,124,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,26,147,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
